student_id,student_first_name,country,age,has_rabbit
0,Louie,Mexico,28,False
1,Louie,Brazil,24,True
2,Huey,Germany,34,True
3,Huey,Brazil,21,False
4,Louie,Brazil,32,True
5,Huey,Mexico,28,False
6,Dewey,Mexico,30,False
7,Huey,Canada,21,False
8,Louie,Germany,32,True
9,Dewey,USA,33,False
10,Dewey,Brazil,32,True
11,Dewey,Germany,20,False
12,Dewey,Russia,22,True
13,Huey,Canada,25,True
14,Louie,Russia,22,False
15,Louie,USA,22,True
16,Louie,Mexico,30,False
17,Huey,Germany,27,False
18,Huey,France,27,False
19,Huey,Russia,29,False
20,Louie,Germany,30,False
21,Huey,Brazil,30,False
22,Dewey,Japan,34,True
23,Dewey,Netherlands,23,False
24,Huey,USA,22,True
25,Dewey,Brazil,26,True
26,Dewey,Germany,18,False
27,Huey,Japan,23,True
28,Louie,Japan,33,True
29,Huey,France,32,True
30,Louie,Mexico,24,False
31,Louie,France,19,False
32,Louie,France,34,False
33,Louie,France,32,False
34,Dewey,Russia,23,False
35,Louie,Germany,31,False
36,Huey,France,22,True
37,Dewey,Germany,20,False
38,Dewey,USA,31,True
39,Huey,USA,21,True
40,Louie,Germany,33,True
41,Huey,USA,34,True
42,Huey,Mexico,34,True
43,Dewey,Netherlands,28,False
44,Louie,Canada,29,True
45,Dewey,Russia,22,False
46,Louie,Mexico,22,False
47,Huey,Canada,27,True
48,Dewey,Mexico,19,False
49,Huey,Brazil,18,False
50,Huey,Canada,22,True
51,Dewey,Canada,26,False
52,Louie,Netherlands,32,False
53,Louie,USA,26,False
54,Dewey,Japan,28,False
55,Louie,Germany,25,False
56,Huey,Russia,32,False
57,Dewey,Mexico,27,False
58,Louie,USA,28,True
59,Louie,Russia,31,True
60,Dewey,Canada,23,True
61,Dewey,France,34,True
62,Louie,France,18,False
63,Dewey,Japan,29,True
64,Huey,France,31,False
65,Huey,Netherlands,20,True
66,Louie,Mexico,20,False
67,Louie,Brazil,34,False
68,Dewey,Germany,33,False
69,Dewey,Mexico,20,True
70,Huey,USA,25,True
